state,fips,year,County,population,deaths
CA,6001,2003,Alameda County,1459268,107
CA,6001,2004,Alameda County,1452735,132
CA,6001,2005,Alameda County,1451065,160
CA,6001,2006,Alameda County,1444484,163
CA,6007,2003,Butte County,210985,40
CA,6007,2004,Butte County,212609,31
CA,6007,2005,Butte County,214153,25
CA,6007,2006,Butte County,216824,62
CA,6013,2003,Contra Costa County,999196,64
CA,6013,2004,Contra Costa County,1007254,92
CA,6013,2005,Contra Costa County,1017644,103
CA,6013,2006,Contra Costa County,1000834,74
CA,6017,2003,El Dorado County,168986,10
CA,6017,2004,El Dorado County,172638,13
CA,6017,2005,El Dorado County,176319,20
CA,6017,2006,El Dorado County,176773,25
CA,6019,2003,Fresno County,850360,66
CA,6019,2004,Fresno County,865468,85
CA,6019,2005,Fresno County,878089,83
CA,6019,2006,Fresno County,883862,87
CA,6023,2003,Humboldt County,127753,38
CA,6023,2004,Humboldt County,128232,25
CA,6023,2005,Humboldt County,128359,36
CA,6023,2006,Humboldt County,132093,36
CA,6029,2003,Kern County,712860,97
CA,6029,2004,Kern County,733784,90
CA,6029,2005,Kern County,756981,84
CA,6029,2006,Kern County,784511,108
CA,6037,2003,Los Angeles County,9862088,730
CA,6037,2004,Los Angeles County,9917538,665
CA,6037,2005,Los Angeles County,9941197,639
CA,6037,2006,Los Angeles County,9737955,687
CA,6041,2003,Marin County,246627,19
CA,6041,2004,Marin County,245884,16
CA,6041,2005,Marin County,247103,16
CA,6041,2006,Marin County,244580,24
CA,6053,2003,Monterey County,414644,29
CA,6053,2004,Monterey County,414538,43
CA,6053,2005,Monterey County,412340,40
CA,6053,2006,Monterey County,401831,41
CA,6059,2003,Orange County,2961937,218
CA,6059,2004,Orange County,2983977,242
CA,6059,2005,Orange County,2992642,239
CA,6059,2006,Orange County,2932261,239
CA,6061,2003,Placer County,293254,28
CA,6061,2004,Placer County,306151,20
CA,6061,2005,Placer County,316868,28
CA,6061,2006,Placer County,321934,36
CA,6065,2003,Riverside County,1781299,150
CA,6065,2004,Riverside County,1868528,165
CA,6065,2005,Riverside County,1945392,167
CA,6065,2006,Riverside County,2012370,174
CA,6067,2003,Sacramento County,1330044,148
CA,6067,2004,Sacramento County,1350861,178
CA,6067,2005,Sacramento County,1363423,225
CA,6067,2006,Sacramento County,1369563,226
CA,6071,2003,San Bernardino County,1861853,64
CA,6071,2004,San Bernardino County,1914795,75
CA,6071,2005,San Bernardino County,1964511,90
CA,6071,2006,San Bernardino County,1974140,97
CA,6073,2003,San Diego County,2921810,287
CA,6073,2004,San Diego County,2933929,286
CA,6073,2005,San Diego County,2936609,276
CA,6073,2006,San Diego County,2947289,303
CA,6075,2003,San Francisco County,752853,114
CA,6075,2004,San Francisco County,743852,92
CA,6075,2005,San Francisco County,741025,123
CA,6075,2006,San Francisco County,768650,149
CA,6077,2003,San Joaquin County,631227,45
CA,6077,2004,San Joaquin County,649338,63
CA,6077,2005,San Joaquin County,664796,44
CA,6077,2006,San Joaquin County,662812,72
CA,6079,2003,San Luis Obispo County,252974,10
CA,6079,2004,San Luis Obispo County,254312,23
CA,6079,2005,San Luis Obispo County,255538,22
CA,6079,2006,San Luis Obispo County,260498,23
CA,6081,2003,San Mateo County,699751,51
CA,6081,2004,San Mateo County,698912,44
CA,6081,2005,San Mateo County,701175,53
CA,6081,2006,San Mateo County,690176,42
CA,6083,2003,Santa Barbara County,402939,32
CA,6083,2004,Santa Barbara County,401669,27
CA,6083,2005,Santa Barbara County,400908,30
CA,6083,2006,Santa Barbara County,408085,27
CA,6085,2003,Santa Clara County,1679420,78
CA,6085,2004,Santa Clara County,1685568,110
CA,6085,2005,Santa Clara County,1705158,87
CA,6085,2006,Santa Clara County,1691159,90
CA,6087,2003,Santa Cruz County,251506,22
CA,6087,2004,Santa Cruz County,250763,18
CA,6087,2005,Santa Cruz County,249420,17
CA,6087,2006,Santa Cruz County,251616,30
CA,6089,2003,Shasta County,175373,31
CA,6089,2004,Shasta County,177608,35
CA,6089,2005,Shasta County,178970,33
CA,6089,2006,Shasta County,176166,33
CA,6095,2003,Solano County,410857,29
CA,6095,2004,Solano County,411410,18
CA,6095,2005,Solano County,410786,30
CA,6095,2006,Solano County,408402,28
CA,6097,2003,Sonoma County,467115,42
CA,6097,2004,Sonoma County,467862,48
CA,6097,2005,Sonoma County,466970,51
CA,6097,2006,Sonoma County,465188,37
CA,6099,2003,Stanislaus County,490630,82
CA,6099,2004,Stanislaus County,497231,76
CA,6099,2005,Stanislaus County,505492,67
CA,6099,2006,Stanislaus County,504651,77
CA,6107,2003,Tulare County,390948,31
CA,6107,2004,Tulare County,400940,39
CA,6107,2005,Tulare County,411131,33
CA,6107,2006,Tulare County,414921,47
CA,6111,2003,Ventura County,790127,87
CA,6111,2004,Ventura County,795838,55
